1,neutral
2,positive
3,positive
4,positive
5,positive
6,neutral
7,neutral
8,neutral
9,neutral
10,negative
11,negative
12,positive
13,neutral
14,neutral
15,positive
16,neutral
17,positive
18,neutral
19,neutral
20,positive
21,positive
22,neutral
23,positive
24,neutral
25,neutral
26,neutral
27,neutral
28,positive
29,positive
30,neutral
31,negative
32,positive
33,positive
34,positive
35,positive
36,neutral
37,neutral
38,neutral
39,neutral
40,neutral
41,positive
42,positive
43,neutral
44,neutral
45,neutral
46,neutral
47,neutral
48,negative
49,negative
50,positive
51,positive
52,positive
53,positive
54,negative
55,neutral
56,positive
57,neutral
58,neutral
59,neutral
60,neutral
61,neutral
62,neutral
63,positive
64,neutral
65,negative
66,positive
67,positive
68,neutral
69,neutral
70,positive
71,positive
72,neutral
73,neutral
74,neutral
75,positive
76,positive
77,neutral
78,negative
79,positive
80,positive
81,neutral
82,positive
83,neutral
84,positive
85,neutral
86,positive
87,neutral
88,neutral
89,neutral
90,positive
91,positive
92,neutral
93,positive
94,positive
95,neutral
96,neutral
97,neutral
98,neutral
99,positive
100,positive
101,positive
102,positive
103,neutral
104,positive
105,neutral
106,neutral
107,neutral
108,positive
109,neutral
110,positive
111,neutral
112,positive
113,neutral
114,neutral
115,positive
116,neutral
117,neutral
118,neutral
119,neutral
120,neutral
121,positive
122,neutral
123,positive
124,positive
125,neutral
126,neutral
127,neutral
128,neutral
129,positive
130,positive
131,neutral
132,positive
133,positive
134,neutral
135,positive
136,neutral
137,neutral
138,positive
139,neutral
140,neutral
141,negative
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,neutral
148,positive
149,positive
150,positive
151,neutral
152,positive
153,positive
154,positive
155,neutral
156,positive
157,positive
158,positive
159,neutral
160,neutral
161,neutral
162,neutral
163,neutral
164,positive
165,positive
166,neutral
167,neutral
168,positive
169,positive
170,neutral
171,neutral
172,positive
173,positive
174,neutral
175,neutral
176,positive
177,neutral
178,neutral
179,positive
180,neutral
181,neutral
182,positive
183,neutral
184,positive
185,neutral
186,neutral
187,negative
188,positive
189,positive
190,neutral
191,neutral
192,positive
193,neutral
194,positive
195,positive
196,neutral
197,neutral
198,neutral
199,positive
200,positive
201,neutral
202,positive
203,neutral
204,neutral
205,neutral
206,neutral
207,positive
208,positive
209,positive
210,positive
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,positive
221,positive
222,neutral
223,neutral
224,neutral
225,neutral
226,neutral
227,neutral
228,positive
229,positive
230,neutral
231,neutral
232,positive
233,positive
234,positive
235,positive
236,neutral
237,neutral
238,neutral
239,positive
240,positive
241,positive
242,neutral
243,neutral
244,neutral
245,positive
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,positive
253,negative
254,positive
255,positive
256,neutral
257,neutral
258,positive
259,positive
260,neutral
261,positive
262,positive
263,positive
264,neutral
265,neutral
266,positive
267,neutral
268,positive
269,neutral
270,neutral
271,neutral
272,positive
273,positive
274,neutral
275,positive
276,positive
277,positive
278,positive
279,positive
280,positive
281,positive
282,positive
283,positive
284,positive
285,positive
286,positive
287,neutral
288,positive
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,positive
296,neutral
297,positive
298,positive
299,positive
300,positive
301,positive
302,neutral
303,positive
304,positive
305,neutral
306,positive
307,positive
308,neutral
309,neutral
310,neutral
311,positive
312,neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,positive
